artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Hercules & Love Affair,1WHoAjAWGx5qLsgzpaOk7W,Blind,7rWS1umX04r7zzWnGNDu8w,Hercules & Love Affair,2008-03-10,49,False,376.973,"{'danceability': 0.708, 'energy': 0.931, 'key': 9, 'loudness': -6.052, 'mode': 0, 'speechiness': 0.0328, 'acousticness': 0.00388, 'instrumentalness': 0.000656, 'liveness': 0.0392, 'valence': 0.594, 'tempo': 118.588, 'type': 'audio_features', 'id': '7rWS1umX04r7zzWnGNDu8w', 'uri': 'spotify:track:7rWS1umX04r7zzWnGNDu8w', 'track_href': 'https://api.spotify.com/v1/tracks/7rWS1umX04r7zzWnGNDu8w', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7rWS1umX04r7zzWnGNDu8w', 'duration_ms': 376973, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,White Winter Hymnal,4LKiFDUTwsqX8K3Up8I8K0,Fleet Foxes,2008-01-01,0,False,147.026,"{'danceability': 0.623, 'energy': 0.524, 'key': 6, 'loudness': -9.031, 'mode': 0, 'speechiness': 0.0271, 'acousticness': 0.444, 'instrumentalness': 0, 'liveness': 0.333, 'valence': 0.611, 'tempo': 124.915, 'type': 'audio_features', 'id': '4LKiFDUTwsqX8K3Up8I8K0', 'uri': 'spotify:track:4LKiFDUTwsqX8K3Up8I8K0', 'track_href': 'https://api.spotify.com/v1/tracks/4LKiFDUTwsqX8K3Up8I8K0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4LKiFDUTwsqX8K3Up8I8K0', 'duration_ms': 147027, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Hot Chip,37uLId6Z5ZXCx19vuruvv5,Ready For The Floor,7lsFHOFeMyWiqaKrESLudT,Made In The Dark,2008-01-22,0,False,234.24,"{'danceability': 0.764, 'energy': 0.759, 'key': 1, 'loudness': -5.443, 'mode': 0, 'speechiness': 0.0413, 'acousticness': 0.00903, 'instrumentalness': 0, 'liveness': 0.0746, 'valence': 0.937, 'tempo': 128.999, 'type': 'audio_features', 'id': '7lsFHOFeMyWiqaKrESLudT', 'uri': 'spotify:track:7lsFHOFeMyWiqaKrESLudT', 'track_href': 'https://api.spotify.com/v1/tracks/7lsFHOFeMyWiqaKrESLudT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lsFHOFeMyWiqaKrESLudT', 'duration_ms': 234240, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
M83,63MQldklfxkjYDoUE4Tppz,Kim & Jessie,5pCTXoSYslXKP2D21e3ZJK,Saturdays = Youth,2008-04-11,0,False,322.933,"{'danceability': 0.498, 'energy': 0.553, 'key': 5, 'loudness': -6.193, 'mode': 1, 'speechiness': 0.0332, 'acousticness': 0.000103, 'instrumentalness': 0.528, 'liveness': 0.273, 'valence': 0.235, 'tempo': 111.015, 'type': 'audio_features', 'id': '5pCTXoSYslXKP2D21e3ZJK', 'uri': 'spotify:track:5pCTXoSYslXKP2D21e3ZJK', 'track_href': 'https://api.spotify.com/v1/tracks/5pCTXoSYslXKP2D21e3ZJK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5pCTXoSYslXKP2D21e3ZJK', 'duration_ms': 322933, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Deerhunter,38zTZcuN7nFvVJ6auhc6V3,Nothing Ever Happened,4KYmHRnnODK78ujoKMt26Y,Microcastle,2008-08-11,0,False,350.92,"{'danceability': 0.264, 'energy': 0.841, 'key': 2, 'loudness': -6.31, 'mode': 1, 'speechiness': 0.0321, 'acousticness': 1.94e-05, 'instrumentalness': 0.834, 'liveness': 0.109, 'valence': 0.716, 'tempo': 150.102, 'type': 'audio_features', 'id': '4KYmHRnnODK78ujoKMt26Y', 'uri': 'spotify:track:4KYmHRnnODK78ujoKMt26Y', 'track_href': 'https://api.spotify.com/v1/tracks/4KYmHRnnODK78ujoKMt26Y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4KYmHRnnODK78ujoKMt26Y', 'duration_ms': 350920, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Cut Copy,4EENT7N7rCBwrddM3s0vFS,Hearts On Fire,5J2aWRLoOL57CUkkzZjZWy,In Ghost Colours,2008-01-01,0,False,292.546,"{'danceability': 0.558, 'energy': 0.957, 'key': 10, 'loudness': -3.999, 'mode': 0, 'speechiness': 0.0488, 'acousticness': 0.0376, 'instrumentalness': 0.871, 'liveness': 0.231, 'valence': 0.683, 'tempo': 124.977, 'type': 'audio_features', 'id': '5J2aWRLoOL57CUkkzZjZWy', 'uri': 'spotify:track:5J2aWRLoOL57CUkkzZjZWy', 'track_href': 'https://api.spotify.com/v1/tracks/5J2aWRLoOL57CUkkzZjZWy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5J2aWRLoOL57CUkkzZjZWy', 'duration_ms': 292547, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Portishead,6liAMWkVf5LH7YR9yfFy1Y,Machine Gun,4CQPDA0aTZ1XtPhQFeRSeP,Third,2008-01-01,0,False,286.44,"{'danceability': 0.562, 'energy': 0.574, 'key': 11, 'loudness': -6.134, 'mode': 1, 'speechiness': 0.0407, 'acousticness': 0.0135, 'instrumentalness': 0.00175, 'liveness': 0.111, 'valence': 0.0646, 'tempo': 105.115, 'type': 'audio_features', 'id': '4CQPDA0aTZ1XtPhQFeRSeP', 'uri': 'spotify:track:4CQPDA0aTZ1XtPhQFeRSeP', 'track_href': 'https://api.spotify.com/v1/tracks/4CQPDA0aTZ1XtPhQFeRSeP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4CQPDA0aTZ1XtPhQFeRSeP', 'duration_ms': 286440, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Estelle,5T0MSzX9RC5NA6gAI6irSn,American Boy (feat. Kanye West),79JLs0q7mQAGVQoJuzegGR,American Boy (feat. Kanye West),2008-01-29,0,True,284.733,"{'danceability': 0.727, 'energy': 0.729, 'key': 0, 'loudness': -2.99, 'mode': 1, 'speechiness': 0.326, 'acousticness': 0.171, 'instrumentalness': 0, 'liveness': 0.07, 'valence': 0.512, 'tempo': 117.932, 'type': 'audio_features', 'id': '79JLs0q7mQAGVQoJuzegGR', 'uri': 'spotify:track:79JLs0q7mQAGVQoJuzegGR', 'track_href': 'https://api.spotify.com/v1/tracks/79JLs0q7mQAGVQoJuzegGR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/79JLs0q7mQAGVQoJuzegGR', 'duration_ms': 284733, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Cut Copy,4EENT7N7rCBwrddM3s0vFS,Out There On The Ice,1YPjK85P5B41WdMLLo4ysg,In Ghost Colours,2008-01-01,0,False,298.36,"{'danceability': 0.643, 'energy': 0.876, 'key': 7, 'loudness': -4.961, 'mode': 0, 'speechiness': 0.0448, 'acousticness': 0.0056, 'instrumentalness': 0.201, 'liveness': 0.307, 'valence': 0.759, 'tempo': 128.015, 'type': 'audio_features', 'id': '1YPjK85P5B41WdMLLo4ysg', 'uri': 'spotify:track:1YPjK85P5B41WdMLLo4ysg', 'track_href': 'https://api.spotify.com/v1/tracks/1YPjK85P5B41WdMLLo4ysg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1YPjK85P5B41WdMLLo4ysg', 'duration_ms': 298360, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Flashing Lights,3TBeBzkd19wXVdFqgv8ddN,Hip Hop: The Collection 2008,2008-01-01,24,True,239.44,"{'danceability': 0.64, 'energy': 0.623, 'key': 6, 'loudness': -7.598, 'mode': 0, 'speechiness': 0.0368, 'acousticness': 0.0299, 'instrumentalness': 0, 'liveness': 0.364, 'valence': 0.497, 'tempo': 90.529, 'type': 'audio_features', 'id': '3TBeBzkd19wXVdFqgv8ddN', 'uri': 'spotify:track:3TBeBzkd19wXVdFqgv8ddN', 'track_href': 'https://api.spotify.com/v1/tracks/3TBeBzkd19wXVdFqgv8ddN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3TBeBzkd19wXVdFqgv8ddN', 'duration_ms': 239440, 'time_signature': 4}",The 100 Best Tracks of 2008,The 100 Best Tracks of 2008 | Pitchfork
