artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist
Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,Seasons (Waiting On You),41X9To0bQ4fpoSRri4NHiI,Singles,2014-03-24,0,False,226.44,"{'danceability': 0.498, 'energy': 0.721, 'key': 10, 'loudness': -5.232, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.136, 'instrumentalness': 0.7, 'liveness': 0.0933, 'valence': 0.589, 'tempo': 140.027, 'type': 'audio_features', 'id': '41X9To0bQ4fpoSRri4NHiI', 'uri': 'spotify:track:41X9To0bQ4fpoSRri4NHiI', 'track_href': 'https://api.spotify.com/v1/tracks/41X9To0bQ4fpoSRri4NHiI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41X9To0bQ4fpoSRri4NHiI', 'duration_ms': 226440, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,Tuesday (feat. Drake),4PWY72AubTjoZrohQt0pWn,I LOVE MAKONNEN,2014-12-15,0,True,321.987,"{'danceability': 0.77, 'energy': 0.664, 'key': 0, 'loudness': -5.604, 'mode': 1, 'speechiness': 0.211, 'acousticness': 0.215, 'instrumentalness': 0.000118, 'liveness': 0.105, 'valence': 0.472, 'tempo': 140.163, 'type': 'audio_features', 'id': '4PWY72AubTjoZrohQt0pWn', 'uri': 'spotify:track:4PWY72AubTjoZrohQt0pWn', 'track_href': 'https://api.spotify.com/v1/tracks/4PWY72AubTjoZrohQt0pWn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4PWY72AubTjoZrohQt0pWn', 'duration_ms': 321987, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,Two Weeks,0PHwCbA310LLIMcSDpQbgF,LP1,2014-08-12,0,True,247.547,"{'danceability': 0.48, 'energy': 0.717, 'key': 0, 'loudness': -6.663, 'mode': 1, 'speechiness': 0.23, 'acousticness': 0.0625, 'instrumentalness': 0.000685, 'liveness': 0.0814, 'valence': 0.335, 'tempo': 109.756, 'type': 'audio_features', 'id': '0PHwCbA310LLIMcSDpQbgF', 'uri': 'spotify:track:0PHwCbA310LLIMcSDpQbgF', 'track_href': 'https://api.spotify.com/v1/tracks/0PHwCbA310LLIMcSDpQbgF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0PHwCbA310LLIMcSDpQbgF', 'duration_ms': 247547, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Caribou,4aEnNH9PuU1HF3TsZTru54,Can't Do Without You,3n4M80UmJNHws4ZqdM7KEF,Our Love,2014-10-07,0,False,236.4,"{'danceability': 0.691, 'energy': 0.407, 'key': 0, 'loudness': -9.053, 'mode': 1, 'speechiness': 0.0473, 'acousticness': 0.79, 'instrumentalness': 0.656, 'liveness': 0.783, 'valence': 0.491, 'tempo': 128.035, 'type': 'audio_features', 'id': '3n4M80UmJNHws4ZqdM7KEF', 'uri': 'spotify:track:3n4M80UmJNHws4ZqdM7KEF', 'track_href': 'https://api.spotify.com/v1/tracks/3n4M80UmJNHws4ZqdM7KEF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3n4M80UmJNHws4ZqdM7KEF', 'duration_ms': 236400, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Red Eyes,71jGGLe5VtEHjIk5dU2W3S,Lost In The Dream,2014-03-18,0,False,298.92,"{'danceability': 0.464, 'energy': 0.815, 'key': 10, 'loudness': -6.371, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.00871, 'instrumentalness': 0.201, 'liveness': 0.162, 'valence': 0.467, 'tempo': 161.845, 'type': 'audio_features', 'id': '71jGGLe5VtEHjIk5dU2W3S', 'uri': 'spotify:track:71jGGLe5VtEHjIk5dU2W3S', 'track_href': 'https://api.spotify.com/v1/tracks/71jGGLe5VtEHjIk5dU2W3S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/71jGGLe5VtEHjIk5dU2W3S', 'duration_ms': 298920, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,Close Your Eyes (And Count to Fuck) [feat. Zack De La Rocha],76QLGx0NleOYqkDtL7HKIA,Run the Jewels 2,2014-10-24,0,True,234.16,"{'danceability': 0.72, 'energy': 0.663, 'key': 1, 'loudness': -6.534, 'mode': 1, 'speechiness': 0.282, 'acousticness': 0.0127, 'instrumentalness': 0, 'liveness': 0.141, 'valence': 0.487, 'tempo': 79.944, 'type': 'audio_features', 'id': '76QLGx0NleOYqkDtL7HKIA', 'uri': 'spotify:track:76QLGx0NleOYqkDtL7HKIA', 'track_href': 'https://api.spotify.com/v1/tracks/76QLGx0NleOYqkDtL7HKIA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/76QLGx0NleOYqkDtL7HKIA', 'duration_ms': 234160, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Beyoncé,6vWDO969PvNqNYHIOW5v0m,***Flawless (feat. Chimamanda Ngozi Adichie),7tefUew2RUuSAqHyegMoY1,BEYONCÉ [Platinum Edition],2014-11-24,58,True,250.96,"{'danceability': 0.476, 'energy': 0.688, 'key': 1, 'loudness': -7.799, 'mode': 1, 'speechiness': 0.245, 'acousticness': 0.0953, 'instrumentalness': 0.000648, 'liveness': 0.438, 'valence': 0.353, 'tempo': 140.555, 'type': 'audio_features', 'id': '7tefUew2RUuSAqHyegMoY1', 'uri': 'spotify:track:7tefUew2RUuSAqHyegMoY1', 'track_href': 'https://api.spotify.com/v1/tracks/7tefUew2RUuSAqHyegMoY1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7tefUew2RUuSAqHyegMoY1', 'duration_ms': 250960, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,Queen,52WTLETEHs5jwCr7LCq0VW,Too Bright,2014-09-22,0,False,230.719,"{'danceability': 0.418, 'energy': 0.547, 'key': 1, 'loudness': -4.932, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.211, 'instrumentalness': 0.0443, 'liveness': 0.187, 'valence': 0.13, 'tempo': 131.99, 'type': 'audio_features', 'id': '52WTLETEHs5jwCr7LCq0VW', 'uri': 'spotify:track:52WTLETEHs5jwCr7LCq0VW', 'track_href': 'https://api.spotify.com/v1/tracks/52WTLETEHs5jwCr7LCq0VW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/52WTLETEHs5jwCr7LCq0VW', 'duration_ms': 230720, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Future,1RyvyyTE3xzB2ZywiAwp0i,"Move That Dope (feat. Pharrell, Pusha T & Casino)",7GEidxhfGNteiW9n0kLyxH,Honest,2014-04-22,52,True,340.48,"{'danceability': 0.869, 'energy': 0.626, 'key': 11, 'loudness': -4.832, 'mode': 1, 'speechiness': 0.126, 'acousticness': 0.0754, 'instrumentalness': 0, 'liveness': 0.0776, 'valence': 0.316, 'tempo': 131.075, 'type': 'audio_features', 'id': '7GEidxhfGNteiW9n0kLyxH', 'uri': 'spotify:track:7GEidxhfGNteiW9n0kLyxH', 'track_href': 'https://api.spotify.com/v1/tracks/7GEidxhfGNteiW9n0kLyxH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7GEidxhfGNteiW9n0kLyxH', 'duration_ms': 340480, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Love Never Felt So Good (Original Version),7DciyLZWipMv860LBeupmK,XSCAPE,2014-05-09,48,False,199.946,"{'danceability': 0.608, 'energy': 0.427, 'key': 7, 'loudness': -9.233, 'mode': 0, 'speechiness': 0.032, 'acousticness': 0.828, 'instrumentalness': 2.96e-06, 'liveness': 0.078, 'valence': 0.58, 'tempo': 120.435, 'type': 'audio_features', 'id': '7DciyLZWipMv860LBeupmK', 'uri': 'spotify:track:7DciyLZWipMv860LBeupmK', 'track_href': 'https://api.spotify.com/v1/tracks/7DciyLZWipMv860LBeupmK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DciyLZWipMv860LBeupmK', 'duration_ms': 199947, 'time_signature': 4}",The 100 Best Tracks of 2014,Top 100 Tracks of 2014
