Artist,Song,Year,Review,Reviewer,Ranking,Source,Source Title
Egyptian Lover,“I Cry (Night After Night)”,1984,"The original 808s and heartbreak. ""I Cry (Night After Night)"" might not be Egyptian Lover's most famous anthem (that would be ""Egypt Egypt""), but it remains one of Greg Broussard's most influential. Absent is the Egyptian iconography that situated the Californian DJ/producer/rapper/electro pioneer's early-'80s output squarely in the realm of Afrofuturism while also giving it the faintest whiff of novelty; in its place is the musical equivalent of crying into your pillow after eating a pint of Ben & Jerry's. With ""I Cry (Night After Night)"", Egyptian Lover not only paved the way for the sad robot music that the likes of Kanye West and Future would go on to push farther and into weirder territory, he also helped establish a trope that rappers still employ to this day: the sad-sack confessional that humanizes their bulletproof tough-guy persona, or in Lover's case, his gift-to-womankind lothario status. True to form, he manages to retain a sliver of his egomania even in his darkest hour, claiming his ""Egyptian voice will hypnotize."" After three decades of being entranced by he of the magnificent bouffant, maybe it's time we concede the point. —Renato Pagnani",Nave Maria,200,Pitchfork,The 200 Best Songs of the 1980s
Tom Zé,“Nave Maria”,1984,"In the late '60s, Caetano Veloso and Gilberto Gil invited Tom Zé to join the Tropicálistas and light a fire under Brazil’s military dictatorship. Often, the movement’s musical element wed exuberant, traditionally Brazilian sounds with a rock'n'roll pose and jarring descriptions of political violence and social unrest; Zé, a firebrand among revolutionaries, was particularly concerned with the folly of ""globarbarization."" When Tropicália lost the war, Zé sojourned into experimentalism, and in 1984, six years after his previous full-length, he released a revelatory electric opus called Nave Maria. It sold like cold cakes, and the 48-year-old, either too broke or heartbroken to continue, made plans to work at his brother’s gas station.",Nave Maria,199,Pitchfork,The 200 Best Songs of the 1980s
A Certain Ratio,“Shack Up”,1980,"Manchester’s A Certain Ratio followed the post-punk dictum of finding common ground between contrasting styles. On ""Shack Up"", they landed on a magnetic three-way split between funk, old soul, and the long-raincoat gloom of their hometown labelmates Joy Division. Originally released on the Factory Benelux offshoot partly formed by Ian Curtis’s girlfriend Annik Honoré, ""Shack Up"" came out in the same year (1980) as Dexys Midnight Runners’ ""Geno"" and resembles the bloodless flip side to Kevin Rowland’s unwavering passion. ACR singer Simon Topping emotes in a gray monotone, similar to Ian Curtis, while drummer Donald Johnson, who had arrived the previous year, brings a funky danceability to the song that Factory would explore even further with the emergence of the Happy Mondays later in the decade. But what makes ""Shack Up"" a classic is its ultra-sparse atmosphere, making it feel like ACR were stripping something to its core principles, in the process burrowing to the very core of what makes certain styles tick. —Nick Neyland",Love Byrd,198,Pitchfork,The 200 Best Songs of the 1980s
"Donald Byrd / 125th Street, N.Y.C.",“Love Has Come Around”,1981,"Arriving after the disco bubble had already popped, Donald Byrd & 125th Street, N.Y.C.’s ""Love Has Come Around"" is as optimistic as they come. By the '80s, Byrd, an accomplished jazz/funk trumpeter who also taught at North Carolina Central University, had moved to Elektra after a long run on Blue Note and formed a new band that included students from his classes. The group’s second album, 1981’s Love Byrd, saw them teaming up with producer Isaac Hayes, who offered slick production chops as well as his quartet of backup singers, Hot Buttered Soul Unlimited. Hayes turned the band’s well-oiled grooves into one of the loveliest singles of the late-disco period, building a plush arrangement of piano, layered harmonies, moody bass, and Byrd’s own effervescent trumpet detailing. Decried at the time by jazz purists as a cheap bid for popular relevance, ""Love Has Come Around"" today sounds like a perfect bridge between classic soul and the last gasps of lavishly arranged dance music, soon to be eclipsed by house’s love affair with turntables and drum machines. —Abigail Garnett",Love Byrd,197,Pitchfork,The 200 Best Songs of the 1980s
Dinosaur L,“Go Bang! #5 (Francois K Mix)”,1986,"Arthur Russell saw no reason to erect a barrier between the music he performed on his cello at the Kitchen, an artsy downtown performance space, and his records that got played at discotheques like the Gallery and the Paradise Garage. He was hardly alone in wanting to eradicate the boundaries between fine art and pop art; that was a principal belief in the 1980s, particularly within New York's avant-garde milieu of musicians and video artists and graffiti writers and experimental poets. But while noise and classical minimalism were deemed acceptable bedfellows, few downtown types extended that open-mindedness to the city's discotheques, where a mostly gay crowd, many of them black and Latino, were conducting their own experiments in repetition, extreme duration, and altered states.",24→24 Music,196,Pitchfork,The 200 Best Songs of the 1980s
Jungle Brothers,“Straight Out the Jungle”,1988,"By the late '80s, rap was thinking big, entering a golden age that produced maximalist, sample-dense classics like It Takes a Nation of Millions to Hold Us Back, 3 Feet High and Rising, Paul’s Boutique, and Tougher Than Leather. Each of those records was risky and expensive, the product of artists not only with ambitious visions but also the budget to realize them. The Jungle Brothers didn’t have those kinds of resources, though, when they recorded their debut Straight Out the Jungle, released in 1988 on the no-profile independent label Warlock Records. It was the first true masterpiece of the jazz-rap movement, but compared to some of the more sophisticated albums that followed in its footsteps, it’s almost crude.",It Takes a Nation of Millions to Hold Us Back,195,Pitchfork,The 200 Best Songs of the 1980s
Too $hort,“Freaky Tales”,1987,"For a supposedly delicate art form, people get haiku poetry confused. It’s not all dragonflies on blades of grass: many of the earliest haikus were dick puns and otherwise crude wandering-poet bro humor. It was juvenile, maybe, but not for its own sake—it complemented the reality-grounded, borderline mundane writing style. All the power lies within the extreme, barely-editorialized brevity, capturing and presenting a real life moment with the purest, most direct translation possible. On ""Freaky Tales"", the centerpiece of East Bay icon Too $hort’s major label debut Born to Mack, the 22-year-old coasted through the nearly 10-minute marathon powered by the same plainspoken and often vulgar realism. He leisurely pimp-steps into the pocket of the stripped-down funk loop; it’s an exercise in minimalism, aside from the litany of 38 women Too $hort summarily bangs with varying degrees of misadventure. But these brief, unfiltered snapshots, delivered with purposeful directness, had an elegance to them, despite the twin-sister threesomes and ill-advised bus sex—entire stories condensed into two simple, vivid lines, delivered with unmistakable confidence. It wasn’t that Too $hort wasn’t capable of going deep; he knew he didn’t need to. —Meaghan Garvey",Born to Mack,194,Pitchfork,The 200 Best Songs of the 1980s
Kano,“I'm Ready”,1980,"Not so much a band as a production outfit, the Italian trio Kano were formative to the emergence of Italo Disco, which added a mechanical pulse to dance music via the use of drum machines and synthesizers. Released in 1980, their song ""I’m Ready"" splices a human rhythm section and a pulsing sequenced bassline. The singers trade verses with heavily vocoded vocals, creating a sort of man vs. machine call and response. Even if you don’t recognize the song by name, you’ve probably heard it. A minor hit at the time, a sample of ""I’m Ready"" also forms the backbone of an even more ubiquitous tune: Tag Team’s 1993 hit, ""Whoomp! (There It Is)"".",Random Access Memories,193,Pitchfork,The 200 Best Songs of the 1980s
William Onyeabor,“Good Name”,1983,"There’s a tense moment in the 2014 William Onyeabor documentary, Fantastic Man, when the Nigerian musician’s former distributor Obinna Obi reluctantly discloses ""an incident that made people get scared of him."" In the story, a boy visits the enigmatic superstar to chase royalties; Onyeabor responds by chasing him off his property with a pistol. When the kid returns with police they fail to find evidence, and he’s arrested for false accusation. ""That image, and air of a bully, was floating in the air,"" says Obi.",Fantastic Man,192,Pitchfork,The 200 Best Songs of the 1980s
Alice Coltrane,“Jagadishwar”,1982,"Beginning in the late '60s, Alice Coltrane released a brilliant run of spiritually rich records that blended Eastern instrumentation with experimental jazz. But by the end of the next decade, Coltrane—a harpist, pianist, composer and widow to jazz legend John Coltrane—had mostly gone quiet. Rather than performing or recording, she withdrew from the secular world, taking the name Turiyasangitananda and concentrating fully on spiritual life.",Turiya Sings,191,Pitchfork,The 200 Best Songs of the 1980s
