artist,artist_id,title,track_id,album,release_date,popularity,explicit,duration_sec,audio_features,Source Title,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,month,day
Outkast,1G9G7WwrXka3Z1r7aIDjI7,Hey Ya!,5dBdCRTTkibsoj93j1PLvi,NOW #1's,2006-01-24,0,False,233.453,"{'danceability': 0.735, 'energy': 0.969, 'key': 0, 'loudness': -2.033, 'mode': 1, 'speechiness': 0.0552, 'acousticness': 0.0752, 'instrumentalness': 0.00019, 'liveness': 0.138, 'valence': 0.966, 'tempo': 79.522, 'type': 'audio_features', 'id': '5dBdCRTTkibsoj93j1PLvi', 'uri': 'spotify:track:5dBdCRTTkibsoj93j1PLvi', 'track_href': 'https://api.spotify.com/v1/tracks/5dBdCRTTkibsoj93j1PLvi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5dBdCRTTkibsoj93j1PLvi', 'duration_ms': 233453, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.735,0.969,0,-2.033,1,0.0552,0.0752,0.00019,0.138,0.966,79.522,audio_features,5dBdCRTTkibsoj93j1PLvi,spotify:track:5dBdCRTTkibsoj93j1PLvi,https://api.spotify.com/v1/tracks/5dBdCRTTkibsoj93j1PLvi,https://api.spotify.com/v1/audio-analysis/5dBdCRTTkibsoj93j1PLvi,233453,4,2006,01,24
Beyoncé,6vWDO969PvNqNYHIOW5v0m,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Dangerously In Love,2003-06-24,81,False,236.133,"{'danceability': 0.646, 'energy': 0.77, 'key': 2, 'loudness': -6.596, 'mode': 0, 'speechiness': 0.226, 'acousticness': 0.00249, 'instrumentalness': 0, 'liveness': 0.0715, 'valence': 0.681, 'tempo': 99.165, 'type': 'audio_features', 'id': '5IVuqXILoxVWvWEPm82Jxr', 'uri': 'spotify:track:5IVuqXILoxVWvWEPm82Jxr', 'track_href': 'https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr', 'duration_ms': 236133, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,2003,06,24
Justin Timberlake,31TPClRtHm23RisEBtV3X7,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,Justified,2002-11-04,77,False,288.333,"{'danceability': 0.624, 'energy': 0.654, 'key': 8, 'loudness': -6.582, 'mode': 0, 'speechiness': 0.183, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.564, 'tempo': 73.898, 'type': 'audio_features', 'id': '7Lf7oSEVdzZqTA0kEDSlS5', 'uri': 'spotify:track:7Lf7oSEVdzZqTA0kEDSlS5', 'track_href': 'https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5', 'duration_ms': 288333, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,audio_features,7Lf7oSEVdzZqTA0kEDSlS5,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4,2002,11,04
The Rapture,166Dz1GX3xonSQ3Z6CQW26,House Of Jealous Lovers,7lsMHdLHRRkGElzVPn91ZW,House Of Jealous Lovers,2002,2,False,306.12,"{'danceability': 0.733, 'energy': 0.693, 'key': 1, 'loudness': -6.54, 'mode': 1, 'speechiness': 0.0378, 'acousticness': 0.000428, 'instrumentalness': 0.297, 'liveness': 0.319, 'valence': 0.827, 'tempo': 130.038, 'type': 'audio_features', 'id': '7lsMHdLHRRkGElzVPn91ZW', 'uri': 'spotify:track:7lsMHdLHRRkGElzVPn91ZW', 'track_href': 'https://api.spotify.com/v1/tracks/7lsMHdLHRRkGElzVPn91ZW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lsMHdLHRRkGElzVPn91ZW', 'duration_ms': 306120, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.733,0.693,1,-6.54,1,0.0378,0.000428,0.297,0.319,0.827,130.038,audio_features,7lsMHdLHRRkGElzVPn91ZW,spotify:track:7lsMHdLHRRkGElzVPn91ZW,https://api.spotify.com/v1/tracks/7lsMHdLHRRkGElzVPn91ZW,https://api.spotify.com/v1/audio-analysis/7lsMHdLHRRkGElzVPn91ZW,306120,4,2002,,
Junior Senior,7xNPROyVfkH4mcIxxCxySm,Move Your Feet,2XhMPOTay1bIxYoWYQ5QzF,D-D-Don't Don't Stop The Beat,2002-03-04,0,False,181.826,"{'danceability': 0.747, 'energy': 0.904, 'key': 9, 'loudness': -2.623, 'mode': 1, 'speechiness': 0.0803, 'acousticness': 0.046, 'instrumentalness': 0.106, 'liveness': 0.203, 'valence': 0.846, 'tempo': 118.877, 'type': 'audio_features', 'id': '2XhMPOTay1bIxYoWYQ5QzF', 'uri': 'spotify:track:2XhMPOTay1bIxYoWYQ5QzF', 'track_href': 'https://api.spotify.com/v1/tracks/2XhMPOTay1bIxYoWYQ5QzF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2XhMPOTay1bIxYoWYQ5QzF', 'duration_ms': 181827, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,audio_features,2XhMPOTay1bIxYoWYQ5QzF,spotify:track:2XhMPOTay1bIxYoWYQ5QzF,https://api.spotify.com/v1/tracks/2XhMPOTay1bIxYoWYQ5QzF,https://api.spotify.com/v1/audio-analysis/2XhMPOTay1bIxYoWYQ5QzF,181827,4,2002,03,04
!!!,1mmehjf7eHA10uHMisZGJg,Me and Guiliani Down by the School Yard - A True Story,6uJwjixrhP4o0bHcbIFu1G,Me and Guiliani Down by the School Yard,2003-06-03,0,False,544.626,"{'danceability': 0.76, 'energy': 0.846, 'key': 7, 'loudness': -5.775, 'mode': 1, 'speechiness': 0.048, 'acousticness': 0.000528, 'instrumentalness': 0.659, 'liveness': 0.0735, 'valence': 0.851, 'tempo': 126.001, 'type': 'audio_features', 'id': '6uJwjixrhP4o0bHcbIFu1G', 'uri': 'spotify:track:6uJwjixrhP4o0bHcbIFu1G', 'track_href': 'https://api.spotify.com/v1/tracks/6uJwjixrhP4o0bHcbIFu1G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6uJwjixrhP4o0bHcbIFu1G', 'duration_ms': 544627, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.76,0.846,7,-5.775,1,0.048,0.000528,0.659,0.0735,0.851,126.001,audio_features,6uJwjixrhP4o0bHcbIFu1G,spotify:track:6uJwjixrhP4o0bHcbIFu1G,https://api.spotify.com/v1/tracks/6uJwjixrhP4o0bHcbIFu1G,https://api.spotify.com/v1/audio-analysis/6uJwjixrhP4o0bHcbIFu1G,544627,4,2003,06,03
Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,I Luv U,2FQDno7lfDiYHUeV8GKc3q,Boy In Da Corner,2003-07-21,0,True,245.066,"{'danceability': 0.737, 'energy': 0.912, 'key': 7, 'loudness': -3.708, 'mode': 1, 'speechiness': 0.288, 'acousticness': 0.304, 'instrumentalness': 1.01e-06, 'liveness': 0.0467, 'valence': 0.905, 'tempo': 136.047, 'type': 'audio_features', 'id': '2FQDno7lfDiYHUeV8GKc3q', 'uri': 'spotify:track:2FQDno7lfDiYHUeV8GKc3q', 'track_href': 'https://api.spotify.com/v1/tracks/2FQDno7lfDiYHUeV8GKc3q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2FQDno7lfDiYHUeV8GKc3q', 'duration_ms': 245067, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.737,0.912,7,-3.708,1,0.288,0.304,1.01e-06,0.0467,0.905,136.047,audio_features,2FQDno7lfDiYHUeV8GKc3q,spotify:track:2FQDno7lfDiYHUeV8GKc3q,https://api.spotify.com/v1/tracks/2FQDno7lfDiYHUeV8GKc3q,https://api.spotify.com/v1/audio-analysis/2FQDno7lfDiYHUeV8GKc3q,245067,4,2003,07,21
Kelis,0IF46mUS8NXjgHabxk2MCM,Milkshake,2cMTIlktg3M9mXYqCPqw1J,Tasty,2003-12-05,15,False,182.626,"{'danceability': 0.881, 'energy': 0.774, 'key': 1, 'loudness': -6.068, 'mode': 1, 'speechiness': 0.0439, 'acousticness': 0.00986, 'instrumentalness': 0.0346, 'liveness': 0.206, 'valence': 0.759, 'tempo': 112.968, 'type': 'audio_features', 'id': '2cMTIlktg3M9mXYqCPqw1J', 'uri': 'spotify:track:2cMTIlktg3M9mXYqCPqw1J', 'track_href': 'https://api.spotify.com/v1/tracks/2cMTIlktg3M9mXYqCPqw1J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2cMTIlktg3M9mXYqCPqw1J', 'duration_ms': 182627, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,audio_features,2cMTIlktg3M9mXYqCPqw1J,spotify:track:2cMTIlktg3M9mXYqCPqw1J,https://api.spotify.com/v1/tracks/2cMTIlktg3M9mXYqCPqw1J,https://api.spotify.com/v1/audio-analysis/2cMTIlktg3M9mXYqCPqw1J,182627,4,2003,12,05
50 Cent,3q7HBObVc0L8jNeTe5Gofh,In Da Club,7iL6o9tox1zgHpKUfh9vuC,Get Rich Or Die Tryin',2003-02-06,84,True,193.466,"{'danceability': 0.899, 'energy': 0.713, 'key': 6, 'loudness': -2.752, 'mode': 0, 'speechiness': 0.366, 'acousticness': 0.255, 'instrumentalness': 0, 'liveness': 0.0708, 'valence': 0.777, 'tempo': 90.051, 'type': 'audio_features', 'id': '7iL6o9tox1zgHpKUfh9vuC', 'uri': 'spotify:track:7iL6o9tox1zgHpKUfh9vuC', 'track_href': 'https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC', 'duration_ms': 193467, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,audio_features,7iL6o9tox1zgHpKUfh9vuC,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC,193467,4,2003,02,06
The Roots,78xUyw6FkVZrRAtziFdtdu,The Seed (2.0),1clsPjKtYtIsnwqMMIV2QT,Phrenology (UK edition with 1 bonus track),2002-11-26,0,True,267.92,"{'danceability': 0.754, 'energy': 0.955, 'key': 7, 'loudness': -2.272, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.0358, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.962, 'tempo': 111.121, 'type': 'audio_features', 'id': '1clsPjKtYtIsnwqMMIV2QT', 'uri': 'spotify:track:1clsPjKtYtIsnwqMMIV2QT', 'track_href': 'https://api.spotify.com/v1/tracks/1clsPjKtYtIsnwqMMIV2QT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1clsPjKtYtIsnwqMMIV2QT', 'duration_ms': 267920, 'time_signature': 4}",Top 50 Singles of 2003,Top 50 Singles of 2003,0.754,0.955,7,-2.272,1,0.0355,0.0358,0.0,0.115,0.962,111.121,audio_features,1clsPjKtYtIsnwqMMIV2QT,spotify:track:1clsPjKtYtIsnwqMMIV2QT,https://api.spotify.com/v1/tracks/1clsPjKtYtIsnwqMMIV2QT,https://api.spotify.com/v1/audio-analysis/1clsPjKtYtIsnwqMMIV2QT,267920,4,2002,11,26
