song,year_rank
Free,2015_100
Can't Keep Checking My Phone,2015_99
Dope Cloud,2015_98
Young,2015_97
Nelly,2015_96
The Lavishments of Light Looking,2015_95
XTC,2015_94
I Remember,2015_93
Break Away,2015_92
How Does It Feel,2015_91
Blasé,2015_90
My Baby Don’t Understand Me,2015_89
Demon,2015_88
Bank Rolls (Remix),2015_87
The Answer,2015_86
To Die in L.A.,2015_85
Dimed Out,2015_84
Seeds,2015_83
Ch-Ching,2015_82
That Battle Is Over,2015_81
Me U & Hennessy,2015_80
Twist My Fingaz,2015_79
Whip It (Remix),2015_78
Downtown,2015_77
Standard,2015_76
High by the Beach,2015_75
(At Your Best) You Are Love (Aaliyah/The Isley Brothers Cover),2015_74
Foreclosures,2015_73
Ryderz,2015_72
The Night Josh Tillman Came to Our Apartment,2015_71
Dubby,2015_70
Fourth of July,2015_69
Lionsong,2015_68
This Could Be Us,2015_67
Dumb,2015_66
Living My Life,2015_65
Angels,2015_64
Shadow,2015_63
Sandra's Smile,2015_62
G.L.O.S.S. (We're From the Future),2015_61
Annie,2015_60
Hell You Talmbout,2015_59
Fight (Nymphs IV),2015_58
Dream Lover,2015_57
Grief,2015_56
Inhale Exhale,2015_55
Oui,2015_54
4 Degrees,2015_53
in time,2015_52
Blackstar,2015_51
Pretty Pimpin,2015_50
Sparks,2015_49
Rewind,2015_48
Genocide,2015_47
Sticky Drama,2015_46
Leaving the City,2015_45
Pedestrian at Best,2015_44
Flex,2015_43
I Serve the Base,2015_42
A New Wave,2015_41
All Day,2015_40
Kill V. Maim,2015_39
Where Are Ü Now,2015_38
No Sleeep,2015_37
Loud Places,2015_36
Energy,2015_35
Cha Cha,2015_34
Tropic of Cancer,2015_33
Here,2015_32
The Rhythm Changes,2015_31
WTF (Where They From),2015_30
Feel You,2015_29
Run Away With Me,2015_28
Them Changes,2015_27
Eventually,2015_26
Sugah Daddy,2015_25
Cel U Lar Device,2015_24
March Madness,2015_23
Know Yourself,2015_22
The Blacker the Berry,2015_21
Trap Queen,2015_20
Norf Norf,2015_19
Gosh,2015_18
REALiTi,2015_17
Sunday Candy,2015_16
Hello,2015_15
Coffee,2015_14
Bitch Better Have My Money,2015_13
Can’t Feel My Face,2015_12
Should Have Known Better,2015_11
Lift Me Up,2015_10
Depreston,2015_9
Really Love,2015_8
Flesh Without Blood,2015_7
Constantly Hating,2015_6
Let It Happen,2015_5
King Kunta,2015_4
I Know There’s Gonna Be (Good Times),2015_3
Hotline Bling,2015_2
Alright,2015_1
Kiss,2016_100
Welcome to Earth (Pollywog),2016_99
Deadbeat Protest,2016_98
Randomness,2016_97
Vibin in This Bih,2016_96
I’m On,2016_95
Wonderful,2016_94
When It Rain,2016_93
Can't Stop Fighting,2016_92
No Heart,2016_91
Old Friends,2016_90
On the Lips,2016_89
Needed Me,2016_88
In Common,2016_87
Sunday Love,2016_86
Sister,2016_85
Give Violence a Chance,2016_84
Promises of Fertility,2016_83
Into You,2016_82
Golden Chords,2016_81
The Wheel,2016_80
Qwazars,2016_79
blisters,2016_78
Man,2016_77
30 Keys,2016_76
Pick Up the Phone,2016_75
Somebody Else,2016_74
That Part,2016_73
Lonely World,2016_72
Smile,2016_71
Existence in the Unfurling,2016_70
Prima Donna,2016_69
Girlfriend,2016_68
OOOUUU,2016_67
The Greatest,2016_66
Adore,2016_65
Be Apart,2016_64
Bum Bum Bum,2016_63
Controlla,2016_62
Blood on Me,2016_61
1990x,2016_60
No Woman,2016_59
Digits,2016_58
VRY BLK,2016_57
Panda,2016_56
1st Day Out tha Feds,2016_55
Hallucinations,2016_54
Glowed Up,2016_53
Who Shot Me?,2016_52
Earth to Heaven,2016_51
Human Performance,2016_50
CHEETAHT2 [Ld spectrum,2016_49
E.V.P.,2016_48
All Night,2016_47
A 1000 Times,2016_46
I Have Been to the Mountain,2016_45
Come Down,2016_44
Girls @,2016_43
Lockjaw,2016_42
Sorry,2016_41
Kanye West,2016_40
It Means I Love You,2016_39
Do You Need My Love,2016_38
Yesterday,2016_37
untitled 02 | 06.23.2014.,2016_36
2 Phones,2016_35
Summer Friends,2016_34
Broccoli,2016_33
No More Parties in LA,2016_32
Dis Generation,2016_31
One Dance,2016_30
22 (OVER S∞∞N),2016_29
Hold Up,2016_28
I Need You,2016_27
Really Doe,2016_26
Nikes,2016_25
Daydreaming,2016_24
I Can't Give Everything Away,2016_23
Conceptual Romance,2016_22
Don’t Touch My Hair,2016_21
Fill in the Blank,2016_20
You Want It Darker,2016_19
33 ‘GOD’,2016_18
Am I Wrong,2016_17
Your Best American Girl,2016_16
Best to You,2016_15
Real Friends,2016_14
Pink + White,2016_13
No Problem,2016_12
We the People...,2016_11
Black Beatles,2016_10
True Love Waits,2016_9
Shut Up Kiss Me,2016_8
Work,2016_7
Drone Bomb Me,2016_6
Lazarus,2016_5
Ivy,2016_4
Cranes in the Sky,2016_3
Formation,2016_2
Ultralight Beam,2016_1
On + Off,2017_100
Build You Up,2017_99
Percolator,2017_98
Wild Thoughts,2017_97
Rake It Up,2017_96
A Wall,2017_95
The Embers,2017_94
Man’s Not Hot,2017_93
Midnight,2017_92
The One to Wait,2017_91
Mi Gente  (Remix),2017_90
Little Bubble,2017_89
Pa’lante,2017_88
Sign of the Times,2017_87
Dream Daddy,2017_86
I’m Better,2017_85
Hug of Thunder,2017_84
Location,2017_83
Siphon,2017_82
The System Only Dreams in Total Darkness,2017_81
Quarrel,2017_80
He Is the Voice I Hear,2017_79
On Hold,2017_78
Big for Your Boots,2017_77
Anxi,2017_76
Bank Account,2017_75
Pull Up Wit Ah Stick,2017_74
Bobby,2017_73
Want You Back,2017_72
Die 4 You,2017_71
Did You See,2017_70
Only Once Away My Son,2017_69
The Pure and the Damned,2017_68
GUMMY,2017_67
BagBak,2017_66
Need to Feel Your Love,2017_65
Golden Cage’’,2017_64
Turn Out the Lights,2017_63
Unforgettable,2017_62
123’’,2017_61
Marilyn,2017_60
Natural Blue,2017_59
LOYALTY.,2017_58
Total Entertainment Forever,2017_57
Czech One,2017_56
Planet’’,2017_55
An Intention,2017_54
Undercover,2017_53
Incredible,2017_52
Hard Times,2017_51
Show You the Way,2017_50
Mythological Beauty,2017_49
Bad Liar,2017_48
Crew,2017_47
Star Roving,2017_46
Slip Away,2017_45
To the Moon and Back,2017_44
The Bus Song,2017_43
The Louvre,2017_42
Nothing Feels Natural,2017_41
911/Mr. Lonely,2017_40
LOVE.,2017_39
Deadly Valentine,2017_38
Deathless,2017_37
Doomed’’,2017_36
On My Mind’’,2017_35
How Do You Sleep?,2017_34
Biking,2017_33
Nyakinyua Rise,2017_32
Big Fish’’,2017_31
Cut to the Feeling,2017_30
Truth,2017_29
Love,2017_28
(No One Knows Me) Like the Piano,2017_27
LMK’’,2017_26
The Opener’’,2017_25
New York’’,2017_24
Drink I’m Sippin On,2017_23
The Weekend,2017_22
T-Shirt,2017_21
Slide,2017_20
IDK About You,2017_19
Baby Luv,2017_18
Thinking of a Place,2017_17
Magnolia,2017_16
The Gate,2017_15
Real Death,2017_14
The Story of O.J.,2017_13
Passionfruit,2017_12
HUMBLE.,2017_11
Boys,2017_10
Frontline,2017_9
Mask Off,2017_8
Dum Surfer,2017_7
Chanel,2017_6
XO TOUR Llif3,2017_5
Love Galore,2017_4
Green Light,2017_3
DNA,2017_2
Bodak Yellow,2017_1
Rich & Sad,2018_100
Stock Image,2018_99
Self Care,2018_98
In My View,2018_97
Comeback Kid,2018_96
Moon River,2018_95
Love Me Right,2018_94
T69 Collapse,2018_93
Track 10,2018_92
Ring the Alarm,2018_91
Hate the Real Me,2018_90
Party for One,2018_89
Anna Wintour,2018_88
Stir Fry,2018_87
Distortion,2018_86
APESHIT,2018_85
Vlone,2018_84
Believe,2018_83
Macaulay Culkin,2018_82
Life Is Beautiful,2018_81
Thanks 4 Nothing,2018_80
Sticky,2018_79
The River,2018_78
OKRA,2018_77
Devotion,2018_76
Hyper-Intelligent Genetically Enriched Cyborg,2018_75
Noid,2018_74
Sold Out Dates,2018_73
Ladies,2018_72
Best Years of My Life,2018_71
Fists of Fury,2018_70
Work It,2018_69
When I’m With Him,2018_68
Boys,2018_67
bless ur heart,2018_66
Sweetener,2018_65
Loading Zones,2018_64
Heat Wave,2018_63
Hands,2018_62
Having Been Is No Way to Be,2018_61
It’s Not Living (If It’s Not With You),2018_60
Four Out of Five,2018_59
Heaven’s Only Wishful,2018_58
Look Alive,2018_57
Miki Dora,2018_56
One More,2018_55
I Do,2018_54
Wanted,2018_53
My Queen Is Harriet Tubman,2018_52
In Another Life,2018_51
Night Shift,2018_50
Always Trying to Work It Out,2018_49
Your Dog,2018_48
The Eye,2018_47
High Horse,2018_46
Hungry Hippo,2018_45
This Time Around,2018_44
Rage,2018_43
Geyser,2018_42
Shallow,2018_41
Powerglide,2018_40
December 24,2018_39
FUN!,2018_38
Venice Bitch,2018_37
Lifetime,2018_36
Rosebud,2018_35
Charcoal Baby,2018_34
I Shall Love 2,2018_33
Confirmation,2018_32
The Story of Adidon,2018_31
Make Me Feel,2018_30
Falling Into Me,2018_29
It Makes You Forget (Itgehane),2018_28
In My Feelings,2018_27
Lemon Glow,2018_26
The Opener,2018_25
Middle America,2018_24
I Like It,2018_23
Is It Cold in the Water?,2018_22
5 dollars,2018_21
Rank & File,2018_20
Sicko Mode,2018_19
Boo’d Up,2018_18
My My My!,2018_17
I Woke Up in a Fucked-Up America,2018_16
Missing U,2018_15
Womp Womp,2018_14
Self,2018_13
Me & My Dog,2018_12
Slow Burn,2018_11
Duck Duck Goose,2018_10
Nobody,2018_9
"thank u, next",2018_8
New Patek,2018_7
Pristine,2018_6
Pick Up,2018_5
Nice for What,2018_4
Malamente (Cap. 1: Augurio),2018_3
Honey,2018_2
Love It If We Made It,2018_1
If I Can’t Have You,2019_100
Fuck Dat,2019_99
13th Century Metal,2019_98
Claim It,2019_97
Thinkin Bout You,2019_96
Get Well Soon,2019_95
It’s Up Freestyle,2019_94
Downhill Lullaby,2019_93
Incapable,2019_92
Superbike,2019_91
placeholder,2019_90
Office Rage,2019_89
My Type,2019_88
Lover,2019_87
Bird,2019_86
Flyin’,2019_85
New Apartment,2019_84
Drømmen om Ø (Forever Mix ’19),2019_83
At the Party,2019_82
What’s the Move,2019_81
bmbmbm,2019_80
Flood,2019_79
NCAA,2019_78
New Tribe,2019_77
Roses That Cry,2019_76
One Sick Plan,2019_75
Room Temperature,2019_74
Meet Again,2019_73
Dumebi,2019_72
Ransom,2019_71
Hurry on Home,2019_70
Home,2019_69
About Work the Dancefloor,2019_68
sad day,2019_67
Throne,2019_66
I Need You,2019_65
Capacity,2019_64
Pop Out,2019_63
Aeroplane,2019_62
money machine,2019_61
Love Without Possession,2019_60
Fashionista,2019_59
Anybody,2019_58
Summer Girl,2019_57
Bromley,2019_56
Freelance,2019_55
Vossi Bop,2019_54
Juice,2019_53
Wasted Youth,2019_52
Starry Night,2019_51
Toyota Man,2019_50
Dark Web,2019_49
ZORA,2019_48
Door,2019_47
Eye in the Wall,2019_46
NASA,2019_45
RICKY,2019_44
Pissy Pamper,2019_43
Stay High,2019_42
Welcome to the Party,2019_41
In Your Head,2019_40
747,2019_39
Hello Sunshine,2019_38
Only Human,2019_37
What Happens to People?,2019_36
People,2019_35
True Blue,2019_34
The Barrel,2019_33
Cattails,2019_32
Sympathy,2019_31
Time Flies,2019_30
Daylight Matters,2019_29
Andromeda,2019_28
"Hey, Ma",2019_27
Dirty Laundry,2019_26
Ashes to Ashes,2019_25
All Mirrors,2019_24
Running,2019_23
hope is a dangerous thing for a woman like me to have - but i have it,2019_22
Gretel,2019_21
Suge (Yea Yea),2019_20
He,2019_19
Old Town Road,2019_18
Snow Is Falling in Manhattan,2019_17
Drunk II,2019_16
Free Uzi,2019_15
Motivation,2019_14
Lark,2019_13
Cash Shit,2019_12
Binz,2019_11
bad guy,2019_10
Not,2019_9
Con Altura,2019_8
Dawn Chorus,2019_7
Seventeen,2019_6
Caro,2019_5
Gone,2019_4
Bags,2019_3
The Greatest,2019_2
cellophane,2019_1
dominique,2020_100
I Walk Alone With Acid,2020_99
Dobby,2020_98
Horrible Person,2020_97
Acid,2020_96
Hula,2020_95
Caution,2020_94
Rockstar,2020_93
Hannah Sun,2020_92
WAKING UP DOWN,2020_91
Echos,2020_90
Care,2020_89
Hate the Club,2020_88
ADMSDP,2020_87
Breathe Deeper,2020_86
Don Dada,2020_85
IPHONE,2020_84
Suite pour l’invisible,2020_83
Furies,2020_82
River Dreams,2020_81
Hit Different,2020_80
Sayonara,2020_79
Backflip or Sumn,2020_78
Sunblind,2020_77
Tap In,2020_76
Long Road Home,2020_75
I Fell in Love,2020_74
Angel,2020_73
Lockdown,2020_72
mirrorball,2020_71
Scottie Beam,2020_70
The Box,2020_69
Bittersweet,2020_68
Mequetrefe,2020_67
Whole New Mess,2020_66
JU$T,2020_65
Lick in Heaven,2020_64
"I Love (Mimi, Moms, Kev)",2020_63
The Mackenzies,2020_62
The Neverending Story,2020_61
Gaslighter,2020_60
forever,2020_59
Yo Perreo Sola,2020_58
Onyeka (Baby),2020_57
Pussy Talk,2020_56
Sweet,2020_55
Cue Synthesizer,2020_54
Free Joe Exotic,2020_53
QADIR,2020_52
I Know Alone,2020_51
Melt!,2020_50
Physical,2020_49
Dragonball Durag,2020_48
The Ascension,2020_47
Guilty Conscience,2020_46
Ordinary Talk,2020_45
We Paid,2020_44
Murphy’s Law,2020_43
WHOLE WORLD,2020_42
Kawasaki Backflip,2020_41
Like That Bitch,2020_40
I Know the End,2020_39
Bad Friend,2020_38
Vanishing Twin,2020_37
Mustang,2020_36
The Steps,2020_35
Song 33,2020_34
On My Own,2020_33
the last great american dynasty,2020_32
Lilacs,2020_31
FANCY,2020_30
POP,2020_29
If You’re Too Shy (Let Me Know),2020_28
Loner,2020_27
Laugh Now Cry Later,2020_26
hand crushed by a mallet (remix),2020_25
Robber,2020_24
Blinding Lights,2020_23
What’s Your Pleasure?,2020_22
For You,2020_21
Lost One,2020_20
anything,2020_19
Both of Us,2020_18
Delete Forever,2020_17
Fetch the Bolt Cutters,2020_16
Do It,2020_15
4 American Dollars,2020_14
circle the drain,2020_13
Cut Me,2020_12
Rain on Me,2020_11
Fire,2020_10
Garden Song,2020_9
Describe,2020_8
Gospel for a New Century,2020_7
Murder Most Foul,2020_6
Safaera,2020_5
Savage Remix,2020_4
I Want You to Love Me,2020_3
"People, I’ve been sad",2020_2
WAP,2020_1
"I am not a woman, I’m a god",2021_100
Believer,2021_99
Bottle Episode,2021_98
Last Day on Earth,2021_97
Being Honest,2021_96
Look,2021_95
Get Into It (Yuh),2021_94
Time Travel,2021_93
Little Deer,2021_92
We Don’t Have to Talk About It,2021_91
All Futures,2021_90
