year_rank,song,artist,is_collaboration,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,source
2015_100,Free,Dâm-Funk,0,,,,,,Pitchfork
2015_99,Can't Keep Checking My Phone,Unknown Mortal Orchestra,0,,,,,,Pitchfork
2015_98,Dope Cloud,Protomartyr,0,,,,,,Pitchfork
2015_97,Young,Frankie Cosmos,0,,,,,,Pitchfork
2015_96,Nelly,Isaiah Rashad,0,,,,,,Pitchfork
2015_95,The Lavishments of Light Looking,WOKE,1,,George Clinton,,,,Pitchfork
2015_94,XTC,DJ Koze,0,,,,,,Pitchfork
2015_93,I Remember,Bully,0,,,,,,Pitchfork
2015_92,Break Away,Cool Uncle,1,,Jessie Ware,,,,Pitchfork
2015_91,How Does It Feel,Kamaiyah,0,,,,,,Pitchfork
2015_90,Blasé,Ty Dolla $ign,1,,Future,Rae Sremmurd,,,Pitchfork
2015_89,My Baby Don’t Understand Me,Natalie Prass,0,,,,,,Pitchfork
2015_88,Demon,Shamir,0,,,,,,Pitchfork
2015_87,Bank Rolls (Remix),Tate Kobang,0,,,,,,Pitchfork
2015_86,The Answer,Savages,0,,,,,,Pitchfork
2015_85,To Die in L.A.,Lower Dens,0,,,,,,Pitchfork
2015_84,Dimed Out,Titus Andronicus,0,,,,,,Pitchfork
2015_83,Seeds,Moses Sumney,0,,,,,,Pitchfork
2015_82,Ch-Ching,Chairlift,0,,,,,,Pitchfork
2015_81,That Battle Is Over,Jenny Hval,0,,,,,,Pitchfork
2015_80,Me U & Hennessy,Dej Loaf,1,,Lil Wayne,,,,Pitchfork
2015_79,Twist My Fingaz,YG,0,,,,,,Pitchfork
2015_78,Whip It (Remix),iLoveMakonnen,1,,Migos,Rich the Kid,,,Pitchfork
2015_77,Downtown,Majical Cloudz,0,,,,,,Pitchfork
2015_76,Standard,Empress Of,0,,,,,,Pitchfork
2015_75,High by the Beach,Lana Del Rey,0,,,,,,Pitchfork
2015_74,(At Your Best) You Are Love (Aaliyah/The Isley Brothers Cover),Frank Ocean,0,,,,,,Pitchfork
2015_73,Foreclosures,Rick Ross,0,,,,,,Pitchfork
2015_72,Ryderz,Hudson Mohawke,0,,,,,,Pitchfork
